hits	size	module	relpath	snapshot	samples
1	35355	tools.burp_enterprise.recon_dashboard.chain_execution_loop	CaseCrack\tools\burp_enterprise\recon_dashboard\chain_execution_loop.py	C:\Users\ya754\AppData\Roaming\Code\User\History\2c1ad5be\gyq6.py	c:\Users\ya754\CaseCrack v1.0\CaseCrack\tests\test_execution_planning.py
1	34900	tools.burp_enterprise.exploit_chains.observability	CaseCrack\tools\burp_enterprise\exploit_chains\observability.py	C:\Users\ya754\AppData\Roaming\Code\User\History\-209fee06\Oz4F.py	c:\Users\ya754\CaseCrack v1.0\CaseCrack\tests\test_observability.py
1	34802	tools.burp_enterprise.graph.cross_scan_memory	CaseCrack\tools\burp_enterprise\graph\cross_scan_memory.py	C:\Users\ya754\AppData\Roaming\Code\User\History\-733df9a7\Z93Q.py	c:\Users\ya754\CaseCrack v1.0\CaseCrack\tests\test_production_hardening.py
1	34297	tools.burp_enterprise.loop.invariant_engine	CaseCrack\tools\burp_enterprise\loop\invariant_engine.py	C:\Users\ya754\AppData\Roaming\Code\User\History\19b04050\1aLV.py	c:\Users\ya754\CaseCrack v1.0\CaseCrack\tests\test_adversarial_upgrades.py
1	33798	tools.burp_enterprise.exploit_chains.production_truth_loop	CaseCrack\tools\burp_enterprise\exploit_chains\production_truth_loop.py	C:\Users\ya754\AppData\Roaming\Code\User\History\66c6da3d\0Cui.py	c:\Users\ya754\CaseCrack v1.0\CaseCrack\tests\test_production_truth_loop.py
1	33582	tools.burp_enterprise.swarm.multi_gpu.topology	CaseCrack\tools\burp_enterprise\swarm\multi_gpu\topology.py	C:\Users\ya754\AppData\Roaming\Code\User\History\422e6dc3\taTr.py	c:\Users\ya754\CaseCrack v1.0\CaseCrack\tests\test_multi_gpu.py
1	32803	tools.burp_enterprise.exploit_chains.decision_framework	CaseCrack\tools\burp_enterprise\exploit_chains\decision_framework.py	C:\Users\ya754\AppData\Roaming\Code\User\History\-74997588\TC91.py	c:\Users\ya754\CaseCrack v1.0\CaseCrack\tests\test_decision_framework.py
1	32220	tools.burp_enterprise.exploit_chains.exploit_progression	CaseCrack\tools\burp_enterprise\exploit_chains\exploit_progression.py	C:\Users\ya754\AppData\Roaming\Code\User\History\13da93d4\o8ZM.py	c:\Users\ya754\CaseCrack v1.0\CaseCrack\tests\test_commercial_autonomous_gaps.py
1	32206	tools.burp_enterprise.swarm.swarm	CaseCrack\tools\burp_enterprise\swarm\swarm.py	C:\Users\ya754\AppData\Roaming\Code\User\History\-1316a405\qfhK.py	c:\Users\ya754\CaseCrack v1.0\CaseCrack\tests\test_agent_swarm.py
1	31874	tools.burp_enterprise.agents.llm_intelligence	CaseCrack\tools\burp_enterprise\agents\llm_intelligence.py	C:\Users\ya754\AppData\Roaming\Code\User\History\47c1c44a\GGcp.py	c:\Users\ya754\CaseCrack v1.0\CaseCrack\tests\test_phase_d_llm_guided_execution.py
1	30826	tools.burp_enterprise.graph.multi_agent.supervisor	CaseCrack\tools\burp_enterprise\graph\multi_agent\supervisor.py	C:\Users\ya754\AppData\Roaming\Code\User\History\-1353d127\RkuD.py	c:\Users\ya754\CaseCrack v1.0\CaseCrack\tests\test_parallel_dispatch.py
1	29910	tools.burp_enterprise.attacker_memory	CaseCrack\tools\burp_enterprise\attacker_memory.py	C:\Users\ya754\AppData\Roaming\Code\User\History\184a4bd1\tm2u.py	c:\Users\ya754\CaseCrack v1.0\CaseCrack\tests\test_commercial_autonomous_gaps.py
1	27545	tools.burp_enterprise.swarm.multi_gpu.scheduler	CaseCrack\tools\burp_enterprise\swarm\multi_gpu\scheduler.py	C:\Users\ya754\AppData\Roaming\Code\User\History\-65da485f\ueJO.py	c:\Users\ya754\CaseCrack v1.0\CaseCrack\tests\test_multi_gpu.py
1	27022	tools.burp_enterprise.loop.exploit_report	CaseCrack\tools\burp_enterprise\loop\exploit_report.py	C:\Users\ya754\AppData\Roaming\Code\User\History\1d5daea9\WIdV.py	c:\Users\ya754\CaseCrack v1.0\CaseCrack\tests\test_final_refinements.py
1	26973	tools.burp_enterprise.graph.runner	CaseCrack\tools\burp_enterprise\graph\runner.py	C:\Users\ya754\AppData\Roaming\Code\User\History\5d4d7ba1\6XRu.py	c:\Users\ya754\CaseCrack v1.0\CaseCrack\tests\test_production_hardening.py
1	26817	tools.burp_enterprise.swarm.multi_gpu.messenger	CaseCrack\tools\burp_enterprise\swarm\multi_gpu\messenger.py	C:\Users\ya754\AppData\Roaming\Code\User\History\1db87e49\uspj.py	c:\Users\ya754\CaseCrack v1.0\CaseCrack\tests\test_multi_gpu.py
1	26166	tools.burp_enterprise.loop.target_selection	CaseCrack\tools\burp_enterprise\loop\target_selection.py	C:\Users\ya754\AppData\Roaming\Code\User\History\509dae73\4s3d.py	c:\Users\ya754\CaseCrack v1.0\CaseCrack\tests\test_strategic_operations.py
1	24674	tools.burp_enterprise.loop.signal_extraction	CaseCrack\tools\burp_enterprise\loop\signal_extraction.py	C:\Users\ya754\AppData\Roaming\Code\User\History\7940fe7f\k7yY.py	c:\Users\ya754\CaseCrack v1.0\CaseCrack\tests\test_strategic_operations.py
1	24100	tools.burp_enterprise.loop.payload_evolution	CaseCrack\tools\burp_enterprise\loop\payload_evolution.py	C:\Users\ya754\AppData\Roaming\Code\User\History\3949aad3\4WxP.py	c:\Users\ya754\CaseCrack v1.0\CaseCrack\tests\test_elite_upgrades.py
1	23548	tools.burp_enterprise.loop.confirmation_engine	CaseCrack\tools\burp_enterprise\loop\confirmation_engine.py	C:\Users\ya754\AppData\Roaming\Code\User\History\7ad90e91\mr3b.py	c:\Users\ya754\CaseCrack v1.0\CaseCrack\tests\test_adversarial_upgrades.py
1	23318	tools.burp_enterprise.swarm.multi_gpu.model_sharder	CaseCrack\tools\burp_enterprise\swarm\multi_gpu\model_sharder.py	C:\Users\ya754\AppData\Roaming\Code\User\History\6f3f25a7\hE2E.py	c:\Users\ya754\CaseCrack v1.0\CaseCrack\tests\test_multi_gpu.py
1	22698	tools.burp_enterprise.graph.checkpointer_async	CaseCrack\tools\burp_enterprise\graph\checkpointer_async.py	C:\Users\ya754\AppData\Roaming\Code\User\History\1b072a9f\BzrR.py	c:\Users\ya754\CaseCrack v1.0\CaseCrack\tests\test_production_hardening.py
1	22688	tools.burp_enterprise.loop.attack_graph	CaseCrack\tools\burp_enterprise\loop\attack_graph.py	C:\Users\ya754\AppData\Roaming\Code\User\History\3e81b49a\OXAA.py	c:\Users\ya754\CaseCrack v1.0\CaseCrack\tests\test_elite_upgrades.py
1	22663	tools.burp_enterprise.recon_dashboard.routes_multi_agent	CaseCrack\tools\burp_enterprise\recon_dashboard\routes_multi_agent.py	C:\Users\ya754\AppData\Roaming\Code\User\History\704fffbd\ypQ9.py	c:\Users\ya754\CaseCrack v1.0\CaseCrack\tests\test_multi_agent_integration.py
1	22577	tools.burp_enterprise.loop.session_matrix	CaseCrack\tools\burp_enterprise\loop\session_matrix.py	C:\Users\ya754\AppData\Roaming\Code\User\History\70923c47\b4VJ.py	c:\Users\ya754\CaseCrack v1.0\CaseCrack\tests\test_elite_upgrades.py
1	21359	tools.burp_enterprise.swarm.multi_gpu.governor	CaseCrack\tools\burp_enterprise\swarm\multi_gpu\governor.py	C:\Users\ya754\AppData\Roaming\Code\User\History\597e4b9c\WAeO.py	c:\Users\ya754\CaseCrack v1.0\CaseCrack\tests\test_multi_gpu.py
1	21106	tools.burp_enterprise.loop.campaign_strategy	CaseCrack\tools\burp_enterprise\loop\campaign_strategy.py	C:\Users\ya754\AppData\Roaming\Code\User\History\-389a33e5\Jcjj.py	c:\Users\ya754\CaseCrack v1.0\CaseCrack\tests\test_strategic_operations.py
1	20462	tools.burp_enterprise.loop.vector_reasoning	CaseCrack\tools\burp_enterprise\loop\vector_reasoning.py	C:\Users\ya754\AppData\Roaming\Code\User\History\-527f2ed1\fjVo.py	c:\Users\ya754\CaseCrack v1.0\CaseCrack\tests\test_adversarial_upgrades.py
1	19835	tools.burp_enterprise.swarm.message_bus	CaseCrack\tools\burp_enterprise\swarm\message_bus.py	C:\Users\ya754\AppData\Roaming\Code\User\History\58b7c2b\sMmi.py	c:\Users\ya754\CaseCrack v1.0\CaseCrack\tests\test_agent_swarm.py
