verdict	only_hist	only_disk	disk_size	hist_size	rel_path	snapshot	strategy	hist_uri
MINOR	0	3	2596	212854	CaseCrack/tools/burp_enterprise/secrets/secret_patterns_expanded.py	C:\Users\ya754\AppData\Roaming\Code\User\History\5f0b4c\FnVy.py	basename	file:///c%3A/Users/ya754/CaseCrack%20v1.0/CaseCrack/tools/burp_enterprise/secret_patterns_expanded.py
MINOR	0	0	89971	184049	CaseCrack/tools/burp_enterprise/exploit_chains/exploit_graph.py	C:\Users\ya754\AppData\Roaming\Code\User\History\384d54a2\QhRu.py	basename	file:///c%3A/Users/ya754/CaseCrack%20v1.0/CaseCrack/tools/burp_enterprise/exploit_graph.py
MINOR	0	0	17	88768	CaseCrack/tests/__init__.py	C:\Users\ya754\AppData\Roaming\Code\User\History\-3bcd2844\XCHc.py	basename	file:///c%3A/Users/ya754/Shopigy/tools/burp_enterprise/__init__.py
MINOR	0	0	118	88768	CaseCrack/tools/__init__.py	C:\Users\ya754\AppData\Roaming\Code\User\History\-3bcd2844\XCHc.py	basename	file:///c%3A/Users/ya754/Shopigy/tools/burp_enterprise/__init__.py
MINOR	0	0	0	88768	CaseCrack/grpc/testserver/__init__.py	C:\Users\ya754\AppData\Roaming\Code\User\History\-3bcd2844\XCHc.py	basename	file:///c%3A/Users/ya754/Shopigy/tools/burp_enterprise/__init__.py
MINOR	0	0	0	88768	CaseCrack/tests/integration/__init__.py	C:\Users\ya754\AppData\Roaming\Code\User\History\-3bcd2844\XCHc.py	basename	file:///c%3A/Users/ya754/Shopigy/tools/burp_enterprise/__init__.py
MINOR	0	0	408	88768	CaseCrack/tests/scenarios/__init__.py	C:\Users\ya754\AppData\Roaming\Code\User\History\-3bcd2844\XCHc.py	basename	file:///c%3A/Users/ya754/Shopigy/tools/burp_enterprise/__init__.py
MINOR	0	0	22323	88768	CaseCrack/tools/burp_enterprise/agents/__init__.py	C:\Users\ya754\AppData\Roaming\Code\User\History\-3bcd2844\XCHc.py	basename	file:///c%3A/Users/ya754/Shopigy/tools/burp_enterprise/__init__.py
MINOR	0	0	1396	88768	CaseCrack/tools/burp_enterprise/ai_ml/__init__.py	C:\Users\ya754\AppData\Roaming\Code\User\History\-3bcd2844\XCHc.py	basename	file:///c%3A/Users/ya754/Shopigy/tools/burp_enterprise/__init__.py
MINOR	0	3	2741	88768	CaseCrack/tools/burp_enterprise/atlas/__init__.py	C:\Users\ya754\AppData\Roaming\Code\User\History\-3bcd2844\XCHc.py	basename	file:///c%3A/Users/ya754/Shopigy/tools/burp_enterprise/__init__.py
MINOR	0	0	1461	88768	CaseCrack/tools/burp_enterprise/caap/__init__.py	C:\Users\ya754\AppData\Roaming\Code\User\History\-3bcd2844\XCHc.py	basename	file:///c%3A/Users/ya754/Shopigy/tools/burp_enterprise/__init__.py
MINOR	0	1	3701	88768	CaseCrack/tools/burp_enterprise/cli/__init__.py	C:\Users\ya754\AppData\Roaming\Code\User\History\-3bcd2844\XCHc.py	basename	file:///c%3A/Users/ya754/Shopigy/tools/burp_enterprise/__init__.py
MINOR	0	0	92	88768	CaseCrack/tools/burp_enterprise/cloud/__init__.py	C:\Users\ya754\AppData\Roaming\Code\User\History\-3bcd2844\XCHc.py	basename	file:///c%3A/Users/ya754/Shopigy/tools/burp_enterprise/__init__.py
MINOR	0	2	1705	88768	CaseCrack/tools/burp_enterprise/config/__init__.py	C:\Users\ya754\AppData\Roaming\Code\User\History\-3bcd2844\XCHc.py	basename	file:///c%3A/Users/ya754/Shopigy/tools/burp_enterprise/__init__.py
MINOR	0	0	233	88768	CaseCrack/tools/burp_enterprise/core_infra/__init__.py	C:\Users\ya754\AppData\Roaming\Code\User\History\-3bcd2844\XCHc.py	basename	file:///c%3A/Users/ya754/Shopigy/tools/burp_enterprise/__init__.py
MINOR	0	0	72	88768	CaseCrack/tools/burp_enterprise/data/__init__.py	C:\Users\ya754\AppData\Roaming\Code\User\History\-3bcd2844\XCHc.py	basename	file:///c%3A/Users/ya754/Shopigy/tools/burp_enterprise/__init__.py
MINOR	0	1	641	88768	CaseCrack/tools/burp_enterprise/database/__init__.py	C:\Users\ya754\AppData\Roaming\Code\User\History\-3bcd2844\XCHc.py	basename	file:///c%3A/Users/ya754/Shopigy/tools/burp_enterprise/__init__.py
MINOR	0	0	140	88768	CaseCrack/tools/burp_enterprise/discovery_pkg/__init__.py	C:\Users\ya754\AppData\Roaming\Code\User\History\-3bcd2844\XCHc.py	basename	file:///c%3A/Users/ya754/Shopigy/tools/burp_enterprise/__init__.py
MINOR	0	0	1412	88768	CaseCrack/tools/burp_enterprise/email_hardening/__init__.py	C:\Users\ya754\AppData\Roaming\Code\User\History\-3bcd2844\XCHc.py	basename	file:///c%3A/Users/ya754/Shopigy/tools/burp_enterprise/__init__.py
MINOR	0	2	1660	88768	CaseCrack/tools/burp_enterprise/exploit_chains/__init__.py	C:\Users\ya754\AppData\Roaming\Code\User\History\-3bcd2844\XCHc.py	basename	file:///c%3A/Users/ya754/Shopigy/tools/burp_enterprise/__init__.py
MINOR	0	0	5169	88768	CaseCrack/tools/burp_enterprise/graph/__init__.py	C:\Users\ya754\AppData\Roaming\Code\User\History\-3bcd2844\XCHc.py	basename	file:///c%3A/Users/ya754/Shopigy/tools/burp_enterprise/__init__.py
MINOR	0	0	1353	88768	CaseCrack/tools/burp_enterprise/graphql/__init__.py	C:\Users\ya754\AppData\Roaming\Code\User\History\-3bcd2844\XCHc.py	basename	file:///c%3A/Users/ya754/Shopigy/tools/burp_enterprise/__init__.py
MINOR	0	1	2843	88768	CaseCrack/tools/burp_enterprise/inference/__init__.py	C:\Users\ya754\AppData\Roaming\Code\User\History\-3bcd2844\XCHc.py	basename	file:///c%3A/Users/ya754/Shopigy/tools/burp_enterprise/__init__.py
